VMRSCode,"Long Description","Short Description ",Obsolete,Comments
SFPXX,"Shield Fire Protection ","Shield Fire Protection ",,
SHIRB,"Shields Rubber","Shields Rubber",,
SHIND,Shindaiwa,Shindaiwa,,
SHNKO,"Shinko Zoki","Shinko Zoki",,
SHINF,"Shinn Fu America","Shinn Fu America",,
SHIPP,"Shippers Products","Shippers Products",,
SHIPS,"Shipshape - C E Smith Company Onc",Shipshape,,
SHOAL,"SHOALS AMERICAN INDUSTRIES, INC.",,,
SHOCO,"Shoco Oil Inc","Shoco Oil Inc ",,
SHOOK,"Shook Mobile Technology ","Shook Mobile Technology ",,
SHPAD,Shop-Aid,Shop-Aid,,
SHOPV,"Shop-Vac Corp","Shop-Vac Corp",,
SHORE,"Shore Land'r Trailers, Div. Of Midwest Industries, Inc.","Shore Land'r Trailers",,
SHRLN,Shoreline,Shoreline,,"Requested by National Grid "
SHOUP,"Shoup Manufacturing Co Inc","Shoup Manufacturing ",,
SHOVL,"Shovel Supply","Shovel Supply",,
SHRCL,"Shrader Canada Limited","Shrader Canada Limited",,
SHRTO,"Shrader Tire & Oil","Shrader Tire & Oil",,
"SHRNK ",Shrinkfast,Shrinkfast,,
SHUPK,"Shu-Pak Equipment Inc`","Shu-Pak ",,
SHULR,"SHULER AXLE DIV., EATON CORP.",,,
SHURC,"Shur-Co Tarp","Shur-Co Tarp",,
SURLN,Shur-Line,Shur-Line,,
SHRTL,SHURE,,,
SHURP,"Shurfine Pumps","Shurfine ",,"Requested by Parts River "
SHURF,"Shurflo Pump Manufacturing Co","Shurflo Pump",,
SHURH,Shurhit,Shurhit,,
SHRJT,Shurjoint,Shurjoint,,
SHRLT,"Shurlite G. C - Fuller Mfg Co",Shurlite,,
SURET,"Shurtape Technologies LLC",Shurtape,,
SHULD,"Shurter Holding AG","Shurter Holding AG",,
SHUTL,"Shuttlelift Inc",Shuttlelift,,
SHTLW,"Shuttleworth Exhaust Systems",Shuttleworth,,"Requested by Wayne Baker, Canpar Transport, Ltd."
SIBAX,"SIBA Fuses LLC","SIBA Fuses",,
SICRD,"SICARD INC.",,,
SICKX,"Sick AG","Sick AG",,
SIDEM,"Sidem NV","Sidem NV",,
SBRTR,"SIEBERT TRAILER MANUFACTURING, INC.",,,
SIEGX,Sieg,Sieg,,
SIEAG,"Siemens AG","Siemens AG",,
SIMAL,"SIEMENS ALLIS INC.",,,
SIMEL,"Siemens Electric, Ltd.","Siemens Electric",,"Requested by Wayne Baker, Canpar Transport, Ltd. No DUNS available"
SIVDO,"Siemens VDO Automotive","Siemens VDO",,
SIRRA,"Sierra Antifreeze - Old World Ind","Sierra Antifreeze",,
SERRA,"Sierra Marine div of Teleflex Inx","Sierra Marine",,
SMSXX,"Sierra Monitor Corporation","Sierra Monitor",,
SIRPA,"Sierra Pacific Engineering & Products","Sierra Pacific",,
SIERA,Sierracin,Sierracin,,
SIFOX,SIFO,SIFO,,
SIGMA,"Sigma Electric Manufacturing Corp","Sigma Electric",,
SIGEX,"Sign Express","Sign Express",,
SIGNQ,"Sign It Quick ","Sign It Quick ",,
SNPRO,"Sign Pro ","Sign Pro",,
SSCXX,"Signal Specialty Co","Signal Specialty",,
SGNST,"SIGNAL-STAT CORP. (ABEX CORP. )",,,
SGNLT,"SIGNALTONE, DIV. OF VALEO AUTOMOTIVE",,,
SGNNM,"SIGNALTONE - NEIMAN",,,
SGNGR,"Signature Graphics Inc","Signature Graphics",,"Requested by FedEx"
SIGNL,"Signel Services Inc ",Signel,,
SIGNT,"Signet Systems, Inc.","Signet Systems",,
SIIGX,"SIIG Inc",SIIG,,
SIKAC,"Sika Corp.",,,"201 Polito AvenueLyndhurst, NJ  07071requested by Parts Riverupdated by mrw"
SILIM,"Sil Industrial Mineral","Sil Industrial Mineral",,
SLNDR,"SILENT DRIVE, INC.",,,
SLNTH,"SILENT HOIST & CRANE CO.",,,
SILWT,"Silent Witness Co","Silent Witness",,"Requested by Parts River "
SILKA,"Silka AG","Silka AG",,
SILOO,"SILOO INC.",,YES,"Obsolete - use CRCIN"
SLVEG,"SILVER EAGLE, BUS & TRUCK SUPPLY CO.",,,
SILVR,"Silver Eagle Manufacturing Co., Inc.",SEMCO,,
SLVRS,"Silver Seal Products Co Inc","Silver Seal Products",,
SIVRK,"Silver Streak","Silver Streak",,
SLVRB,"Silverback HD Products","Silverback HD Products",,
SLVRL,Silverline,Silverline,,
SLVTC,"Silvertronic Inc","Silvertronic Inc",,
SIMRD,"Simard Suspensions Inc","Simard Suspensions",,
SIMTC,"Simatec Inc","Simatec Inc",,
SIMCA,"SIMCA (CHRYSLER-FRANCE)",,,
SIMCO,"Simco Drilling","Simco Drilling",,
SIMLC,"Simi Loaded Calipers","Simi Loaded Calipers",,
SIMMS,Simms,Simms,,
SIMON,"Simon Aerials, Inc.","Simon Aerials",,"Requested by Rich Viehdorfer, National Grid"
SIMWI,"Simon Welding Inc","Simon Welding Inc",,
SIMND,"Simonds Industries Inc","Simonds Industries Inc",,
SIMOZ,"Simoniz USA ","Simoniz USA ",,
SMPLG,"Simple Green","Simple Green",,
SIMPL,"Simplex Fifth Wheel","Simplex Fifth Wheel",,
SIMPX,"Simplex Products","Simplex Products",,
SMPLY,Simplicity,Simplicity,,
SIMPO,"Simpoh Inc - Trudeck","Simpoh Inc - Trudeck",,
DVENT,"Simpson Dura-Vent","Simpson Dura-Vent",,
SIMPS,"Simpson Pressure Washer Co","Simpson Pressure Washer ",,"Requested by Parts River "
SIMMX,"Simson Maxwell","Simson Maxwell",,
SINTC,"Sinclair Technologies","Sinclair Technologies",,
SINDT,"Sindt Inc, Industrial Tire","Sindt Inc",,"Requested by FedEx"
SNGER,"Singer Controls of America","Singer Controls",,
SINTO,"Sinto Racing",Sinto,,
SIOUX,"Sioux City Foundry Co","Sioux City Foundry",,
SCTRP,"Sioux City Tarps Inc","Sioux City Tarps Inc",,
SXTLS,"SIOUX TOOLS, INC.",,,
SIRCO,"SIRCO INDUSTRIES",,,
SIRUS,"Sirius Light Technology","Sirius Light Technology",,
SIRPR,"Sirius Products","Sirius Products",,
SISUX,"Sisu Axles","Sisu Axles",,
SITRE,"Sitre Sprayers",Sitre,,"Requested by Parts River "
SVGFR,"SIVIGLIA, FRANK & CO., INC.",,,
SIXRO,"Six Robblees Inc","Six Robblees Inc",,
SIXST,"Six States Distributors","Six States Distributors",,
SIZTO,"Sizto Tech Corporation","Sizto Tech Corporation",,
SKLTL,"SK Tool","SK Tool",,
SKAKO,"Skako Inc","Skako Inc",,
SKEWP,"Skew Products Inc","Skew Products Inc",,
SKFIN,"SKF INDUSTRIES, INC.",,," INCLUDES CHICAGO RAWHIDE "
SKIDX,"Skiddd Inc",Skiddd,,
SKIDM,"Skidmore Trailers",Skidmore,,"Requested by Parts River "
SKIDO,Skidoo,Skidoo,,
"SKILT ","Skil Tools","Skil Tools",,
SKNVL,"SKINNER VALVE DIVISION HONEYWELL, INC.",,,
SKODA,Skoda,Skoda,,
SKYBZ,"Skybitz Global Locating Systems",Skybitz,,
SKYJK,"Skyjack Inc.","Skyjack Inc.",,
SKYLF,"Skylift Inc",Skylift,,
SKYLN,"Skyline Emissions Inc","Skyline Emissions Inc",,
SKYSN,"SkyScan International ","SkyScan International",,
SLHAR,"SL Harbert Machine & Welding LLC","SL Harbert Machine & Welding ",,
SLABE,"Slabach Enterprises","Slabach Enterprises",,
SLSMK,"Slaymaker Locks","Slaymaker Locks",,
SLILH,"SLI Lighting Products Inc","SLI Lighting Products Inc",,
SLICK,"Slick 50","Slick 50",,
SDMSR,"Slide Master","Slide Master",,
SLSYI,"Sliding Systems Inc","Sliding Systems Inc",,
SLIME,"Slime Tire Sealant","Slime Tire Sealant",,
SLIGT,"Sling Tech Inc","Sling Tech",,
"SLING ","Sling-Choker Manufacturing","Sling-Choker Manufacturing",,
SLPPL,SlipPlate,SlipPlate,,
SLOAN,"Sloan Transportation Products",Sloan,YES,"Obsolete use TRSLN"
SLNVL,"SLOAN VALVE COMPANY",,YES,"Obsolete - use SLOAN"
SMALL,"Small Line Corp","Small Line",,"Requested by Parts River "
SMALY,"Smalley Steel Ring Co","Smalley Steel Ring",,
SMTBR,"Smart Brake","Smart Brake",,
SMAHS,"Smart Hose Technologies","Smart Hose Technologies",,
SMTCR,"Smart USA","Smart USA",,
SMTDR,"Smartdrive Systems Inc","Smartdrive Systems Inc",,
SMART,"Smartire Systems, Inc.",Smartire,,
SMRTP,"Smartparts - Five Star Manufacturing",Smartparts,,
SMTSN,"SmartSand Inc ","SmartSand Inc ",,
SMRTK,SmartTruck,SmartTruck,,
SMRTW,"Smartwasher - Chemfree Corp",Smartwasher,,
SMCUA,"SMC Corporation of America","SMC Corporation",,"3011 N. Franklin Rd.Indianapolis, Indiana 46226Requested by Kirk NationaLease"
SMCPN,"SMC Pneumatics ","SMC Pneumatics ",YES,"Obsolete - use SMCUA"
SMEAL,"Smeal Fire Trucks Inc","Smeal Fire Trucks",,"Requested by Parts River "
SMIXX,SMI,SMI,,
SMTTR,"SMITH, ALVIN, TRUCK BODY SALES, INC.",,,
"SMTHB ","Smith Bearing - Accurate Bushing Company","Smith Bearing - Accurate Bushing",,
SMITH,"Smith Capital Equipment","Smith Capital Equipment",,
SMTCP,"Smith Cooper International ","Smith Cooper International ",,
SMEVC,"Smith Electric Vehicles","Smith Electric Vehicles",,
SESCO,"Smith Equipment & Supply","Smith Equipment & Supply",,
SMFIL,"Smith Filter Corp","Smith Filter",,
FRDSM,"SMITH, FORD, MACHINE, LTD.",,,
SMICO,"Smithco Inc",Smithco,,"Requested by Parts River "
SMITY,"Smitty's Supply Inc - Super S","Smitty's Supply Inc",,
SMTHR,"Smooth Ride Inc","Smooth Ride",,
SMCYX,"Smoracy LLC",Smoracy,,
SNPON,"Snap-On Inc",Snap-On,,"Requested by Parts River "
SNAPT,"Snap-Tite Couplings","Snap-Tite Couplings",,
SNAPR,"Snapper Inc",Snapper,,"Requested by Parts River "
SNFQP,"SNF Floquip","SNF Floquip",,
SBLST,"Sno Blast","Sno Blast",,
SNOGO,Snogo,Snogo,,
SNRKL,Snorkel,Snorkel,,
SNJET,"Snow Jet","Snow Jet",,
SNPRP,"Snow Pro Parts","Snow Pro Parts",,
SNWCO,Snowcoach,Snowcoach,,
SWMAN,"Snowman Snowplows","Snowman Snowplows",,
SNUGH,"Snug Harbor Boats","Snug Harbor Boats",,
SNDRT,"Snyder Tank Corp","Snyder tank",,"Requested by Parts River "
SCTGN,"SOCIETE GENERALE DE SERVICE - CN",,,
SKTSO,"Socket Source","Socket Source",,
SFLTR,Sofiltra,Sofiltra,,
SOFIM,"Sofima Hydraulic Filters",Sofima,,
SFTTR,"Soft Track Supply","Soft Track Supply",,
SOLTT,"Solar Tech Trailers","Solar Tech Trailers",,
SLBGM,"Solberg Manufacturing",Solberg,,
SLDRS,"Solder Seal","Solder Seal",,
SOLDR,"Solder-It Co",Solder-It,,
SOLRA,Solectria,Solectria,,"Requested by National Grid "
SOLEX,Solex,Solex,,
SOLCO,Solico,Solico,,"Requested by Parts River "
SOLDT,"Solideal Tires USA","Solideal Tires USA",,
SLMRP,"SOLIMAR PNEAUMATICS",,,
SOLOX,"Solo Cup Company","Solo Cup Company",,
SLPWR,"Solpower Corporation",Solpower,,
SOLMB,"Solutions MB","Solutions MB",,
SMRST,SOMERSET,,,
SONAR,"Sonar Safety Systems","Sonar Safety Systems",,
SONRM,Sonarem,Sonarem,,
SOTST,Sonatest,Sonatest,,
SOUAN,"Song Chuan USA","Song Chuan USA",,"2841Center Port CrPompano Brach, FlRequested by SEFL"
SONAX,"Sonnax Industries Inc",Sonnax,,
SONOZ,"Sonozaire div of CB & I Howe-Baker",Sonozaire,,
SONYX,Sony,Sony,,
SOONR,"Sooner Rubber","Sooner Rubber",,
SOPAR,Soparis,Soparis,,
SOPUS,"Sopus Products",Sopus,,"Requested by Parts River "
SORXX,SOR,SOR,,
SORLI,"Sorl Auto Parts Inc","Sorl Auto Parts",,
SOSMT,"Sosmetal Products Inc",Sosmetal,,"Requested by Parts River "
SOTAI,"Sota Inc","Sota Inc",,
SOWAI,"Sound Waves Insulation Inc","Sound Waves Insulation",,
SNSIG,"Soundoff Signal Inc.","Soundoff Signal",,"P O  Box 206Hudsonville, MI 49426Requested by Kirk NationaLease"
SOURC,"Source Products, Inc.","Source Products",,
STCPR,"South Coast Products LP","South Coast Products",,
SPRKC,"South Park Corporation","South Park Corporation",,
SSFTS,"South San Francisco Tire Service","South San Francisco Tire",,
STXBF,"South Texas Bolt & Fitting Inc","South Texas Bolt & Fitting Inc",,
STHCO,"SOUTHCO INC.",,,
SOUEP,"Southeast Power Systems","Southeast Power Systems",,
SEFLX,"Southeastern Freight Lines","Southeastern Freight Lines",,
SOMAT,"Southerland Mattress","Southerland Mattress",,
SFRAC,"Southern Frac Tank Manufacturing ","Southern Frac Tank Manufacturing ",,
SOLUB,"Southern Lubricants","Southern Lubricants",,
STHRC,"Southern Rubber Inc","Southern Rubber",,
SOSFY,"Southern Safety Supply","Southern Safety Supply",,
SSPSI,"Southern Spring & Stamping Inc","Southern Spring & Stamping",,
SOUTS,"Southern States LLC","Southern States LLC",,
STHRN,"SOUTHERN TRAILER MFG. CO.",,,
STHTC,"SOUTHERN TRUCK BODY CORP.",,,
STHFL,SOUTHFIELDS,,,
"STHTN ","Southtowns Specialties LLC","Southtowns Specialties",,
SWEST,"Southwest Brake Auto Parts","Southwest Brake",,"Requested by Parts River "
SOCON,"Southwest Conversion","Southwest Conversion",,
SWOPR,"Southwest Oilfield Products","Southwest Oilfield Products",,
SWTRL,"Southwest Trailer (SWG)","Southwest Trailer",,
STHTR,"SOUTHWEST TRUCK BODY CO.",,,
SECXX,"Southwestern Equipment Company ","Southwestern Equipment Company ",,
STHWS,"SOUTHWESTERN PETROLEUM CORP.",,,
STHWN,"Southwin Ltd","Southwin Ltd",,
SOWAT,"Sowa Tools & Machine Co Ltd","Sowa Tools & Machines",,
SPCDL,"Spaco Diesel","Spaco Diesel",,
SPNUR,Spaenaur,Spaenaur,,
SPALX,"Spal USA","Spal USA",,
SPNCO,Spanco,Spanco,,
SPNST,SpanSet,SpanSet,,"Replaces - SPANS"
SPANS,"Spanset Inc",Spanset,YES,"Obsolete - use SPNST"
SPART,"Spartan Chassis","Spartan Chassis",,
SPRPM,"Spartan Pumps","Spartan Pumps",,
SPRTR,"SPARTAN TRANSIT SUPPLY CORP.",,,
SPRTN,"SPARTON MFG. CO.",,,
SPATC,"Spatco Fueling Products",Spacto,,
SPCNS,"SPCNS HOMEMADE UNITS, CALIF.",,,
SPERS,"Spears Mfg Co",Spears,,
SPECD,"Spec-D Tuning ","Spec-D Tuning",,
SPPRO,"Special Products Co","Special Products",,
SPETR,"Special Trucks Inc","Special Trucks",,"Requested by National Grid"
SPCLC,"Specialists Choice ","Specialists Choice",,
SPRSP,"Speciality Bus Products","Speciality Bus Products",,
SPPRD,"Speciality Products Inc","Speciality Products Inc",,
SPRIX,"Speciality Resources Inc ","Speciality Resources Inc ",,
SPCVH,"Speciality Vehicles ","Speciality Vehicles ",,
SPWIP,"Speciality Wipers Inc","Speciality Wipers Inc",,
SPCLT,"SPECIALTY MANUFACTURING COMPANY",,,
SPCPR,"Specialty Products Co","Specialty Products",,"4045 Specialty PlLongmont, Co. 80504requested by KirknationaLease"
SPECO,"Speco Technologies","Speco Technologies ",,
SPETL,"Spectec Trailer","Spectec Trailer",,
SPECM,"Spector Manufacturing Inc ","Spector Manufacturing Inc ",,
SPECT,"Spectra Premium Industries, Inc.","Spectra Premium",,"Requested by Wayne Baker, Canpar Transport, Ltd."
SPEPD,"Spectra Products","Spectra Products",,
SPEUS,"Spectra US",Spectra,,"San Jose, Califrequested by Kirk NationaLease"
SPCTR,"Spectre Performance","Spectre Performance",,
SPESC,"Spectro Scientific","Spectro Scientific",,
SPETO,"Spectro Wire","Spectro Wire",,
"SPCTN ","Spectronics Corporation",Spectronics,,
SPECI,"Speeco Inc",Speeco,,
SPDAR,"Speedaire Div. of Grainger","Speedaire ",,
SPEEC,"Speedco Inc",Speedco,,
SPDMN,"Speeddemon Lights","Speeddemon Lights",,
SPEED,"Speedflo Equipment",Speedflo,,"Requested by Parts River "
SPTCH,"Speedtech International ","Speedtech International",,
SPTRS,"Speedtronics.Com. Div. Midwest Power ",Speedtronics,,"Requested by Kirk NationaLease"
SPENX,"SPEN CO., HENRY",,,
SPRAC,"Spencer A/C Industries","Spencer A/C",,"Requested by Parts River "
SPRNW,"SPERRY NEW HOLLAND",,YES,"Obsolete - use NWHOL"
SRMCX,"Sperry & Rice Manufacturing Company","Sperry & Rice Manufacturing",,
VCKRS,"SPERRY VICKERS, SPERRY RAND",,,
SPHRO,Spheros,Spheros,,
SPIDN,"SPI Distribution Inc","SPI Distribution",,
SPICR,"SPICER AXLE-TRANS DIVS DANA CORP.",,,
SPCRC,"Spicer Chassis - Affina Under Vehcile Group","Spice Chassis",,
SPLKN,"Spilkleen div Agramax Inc","Spilkleen div Agramax Inc",,
SPILL,"Spilltech Enviromental Inc","Spilltech Enviromental",,
SPNTT,"SPINETT INC.",,,
SPNNR,"SPINNER II PRODUCTS",,,
SPITX,"Spintex Company","Spintex ",,
SPRLI,"Spiral Industries Inc","Spiral Industries",,
SPLPR,"Splash Products Inc","Splash Products",,
SWNWI,"Sportworks Northwest Inc","Sportworks Northwest",,
SPRGC,"Sprague Controls",,,"requested as a brand code by parts riverupdated by mrw"
SPRAG,"SPRAGUE DEVICES, INC.",,,
SPRAX,"Spray Control Systems Inc","Spray Control Systems",,
SPRAY,"Spray Nine Corp","Spray Nine Corp",,
SPRYN,"Spray On","Spray On",,
SPRAP,"SPRAY PRODUCTS CORP.",,,
SPRYD,"SpraydownUSA - Engineered Profiles LLC",SpraydownUSA,,
"SPWAY ","Spraywan Inc","Spraywan Inc",,
SPRWY,"Sprayway Inc","Sprayway Inc",,
SPRSH,"Sprecher + Schuh ","Sprecher + Schuh",,
SPRAL,"Spring Align of Palatine Inc ","Spring Align of Palatine Inc ",,
SRIXX,"Spring Research Institute","Spring Research Inst",,
SPRMF,"Spring Valley Mfg","Spring Valley Mfg",,
SPGBK,"Springfield Brake Co","Springfield Brake",,"Requested by Parts River "
SPRFD,"Springfield Remfg Corp","Springfield Remfg",,
SPRFT,"Springlift Corp",Springlift,,
SPRNT,"Sprinter Vans","Sprinter Vans",,
SPXSS,"SPX Service Solutions","SPX Service",,"Requested by Parts River "
SPYDR,"Spyder Auto","Spyder Auto",,
SPYCR,"Spydercrane Equipment Ltd",Spydercrane,,
SQRED,"Square D","Square D",,"requested by Kirk NationaLease"
SQUBB,"Squibb Taylor Inc","Squibb Taylor",,
SRECO,"SRECO Flexible","SRECO Flexible",,
SRICO,"Srico Corp",Srico,,"Requested by Parts River "
SRMIN,"SRM Industries Inc","SRM Industries",,
SSANG,"Ssang Yong Motors","Ssang Yong Motors",,
SSITI,"SSI Technologies Inc ","SSI Technologies Inc ",,
STCLR,"St Clair Technologies Inc","St Clair Technologies",,
SGPLS,"St. Gobain Plastics","St. Gobain",,"1509 S. Macedonia Ave. Muncie. In. 47302Requested by Parts River "
STGOL,"ST9 Gas & Oil LLC","ST9 Gas & Oil ",,
STABR,"Sta-Brite Specialties","Sta-Brite Specialties",,
STARI,"Sta-Rite Industries",Sta-Rite,,"Requested by Parts River "
STBIL,Stabilus,Stabilus,,
STBND,Stabond,Stabond,,
STACI,"Stac Inc","Stac inc",,
STAGG,"Stagg Safety Equipment ","Stagg Safety Equipment ",,
STAHL,"Stahl - Scott Fetzer Co",Stahl,,
STNST,"STAINLESS & STEEL PRODUCTS CO.",,,
STNTN,"STAINLESS TANK & EQUIPMENT, INC.",,,
STAKN,Stakon,Stakon,,
STMTL,"Stamped Metal Inc","Stamped Metal",,"Requested by Parts River "
STAUT,"Stampede Automotive Accessories","Stampede Automotive Accessories",,
STNAT,"STANADYNE AUTOMOTIVE CORPORATION",,,
STANC,"Stancor Pumps","Stancor Pumps",,
STAND,"Stand Forklift Co","Stand Forklift",,
STDAB,"STANDARD ABRASIVES, INC.",,,
STDCT,"STANDARD COATING CORP.",,,
STDEL,"Standard Electric","Standard Electric",,
STDEQ,"Standard Equipment Company ","Standard Equipment Company ",,
STDFR,"STANDARD FORGE AXLE CO., INC.",,,
STFUS,"Standard Fusee Corp","Standard Fusee",,
STIGN,"Standard IGN","Standard IGN",,
STDIM,"Standard Import Cars","Standard import Cars",,
STDMT,"STANDARD MOTOR PRODUCTS, INC.",,,
STDST,"Standard Steel","Standard Steel",,
STDTR,"Standard Transformer Co.","Standard Transformer Co.",,
STDWH,"Standard Wheel & Rim","Standard Wheel & Rim",,
STDTH,"STANDARD-THOMSON CORP.",,,
STNDN,"Standens Limited","Standens Limited",,
STNLY,"STANLEY HARDWARE DIV., STANLEY WORKS",,,
"STANL ","Stanley Tools","Stanley Tools",,
STAVI,Stanley-Aviation,Stanley-Aviation,,
STANT,STANT,,,
STAPL,Staples,Staples,,
STARF,"Star Fabrication Ltd","Star Fabrication",,
STRHD,"STAR HEADLIGHT & LATERN CO.",,,
STARX,"STAR INDUSTRIES, INC.",,,
STRIW,"Star Iron Works Inc","Star Iron Works",,
STCPY,"Star Stainless Screw Company ","Star Stainless Screw Company",,
STRTL,"Star Trailers Inc ","Star Trailers Inc ",,
START,"Star Trans","Star Trans",,
SWSXX,"Star Warning Systems Inc","Star Warning Systems",,
STRBR,"Star-Brite Specialties Inc","Star-Brite Specialties ",,
STRCO,"Starco Corp - Nu Star LLC","Starco Corp",,
STRCT,"Starcraft Inc",Starcraft,,"Requested by Parts River "
STREV,StarEV,StarEV,,
STRGT,"Stargate Trailer","Stargate Trailer",,
STRKM,"STARK MANUFACTURING",,,"Replaces - STRMN"
STRMN,"STARK MANUFACTURING, INC.",,YES,"Obsolete - use STRKM"
STRLF,"Starlift Equipment Co","Starlift Equipment",,
STARL,Starlite,Starlite,,
STARR,"Starr Industries, Inc.","Starr Industries, Inc.",,
STRTE,"StarTech.com Ltd","StarTech.com Ltd",,
STACN,"Staticon ",Staticon,,
STATS,Stats,Stats,,
STATI,"Status Instruments Ltd","Status Instruments",,
STAUB,"Staubli Fitting Co","Staubli Fitting",,
STAUF,Stauff,Stauff,,
STNDT,"Staveley NDT Technologies","Staveley NDT Technologies",,
STAVE,Stavely,Stavely,,
STARD,"Stay Ready","Stay Ready",,
HYGRD,"STD Hygrade","STD Hygrade",,
STDPG,"STD Precision Gear, Inc.",STD,,"Requested by Wayne Baker, Canpar Transport, Ltd."
STDMN,"STEADMAN INDUSTRIES LTD.",,,
STDYM,"Steadymate Inc","Steadymate Inc",,
STLTL,"Stealth Trailers","Stealth Trailers",,
STEPK,"Stearns Packaging Corporation","Stearns Packaging Corporation",,
STECO,STECO,,,
STEDL,Stedall,Stedall,,"Requested by Gordon Trucking"
STEDT,"Stedt Hydraulic Crane Corp","Stedt Hydraulic Crane",,
STEGL,"Steel Eagle","Steel Eagle",,
STELP,"Steel Electric Products","Steel Electric Products",,
STFEL,"Steel Fire Equipment Ltd","Steel Fire Equipment ",,
STLIN,"Steel Industries LTD","Steel Industries LTD",,
SOWVI,"Steel of West Virginia Inc","Steel of West Virginia",,
STLSP,"Steel Supply LP","Steel Supply LP",,
STEWC,"Steelwater Solutions Corporations","Steelwater Solutions Corporations",,
"STCGI ","Steering Columns Galore Inc","Steering Columns Galore",,
STCRE,"Steering Creations Inc","Steering Creations Inc",,
SRTPX,"Steering Rebuilders & Truck Parts Inc","Steering Rebuilders & Truck Parts",,
STEGO,"Stego Inc","Stego ",,
STGER,"Steiger Tractors","Steiger Tractors",,
STENR,"Steiner Industries","Steiner Industries",,
STEIN,"Steiner Tractor","Steiner Tractor",,
STNRT,"Steinert Industries Inc","Steinert Industries Inc",,
STELC,"STELCO, INC.",,,
"STELF ","Stelfast Inc","Stelfast Inc",,
STINS,"Stellar Industrial Supply","Stellar Industrial Supply",,
"STELR ","Stellar Industries Inc","Stellar Industries Inc",,
STLPO,Stelpro,Stelpro,,
STMCO,"STEMCO MANUFACTURING CO.",,,
"STMGF ",Stemco-Gaff,Stemco-Gaff,,
STMPF,"Stempf Automotive Industries","Stempf Automotive",,
"STJLT ","Stenhoj Automotive Lifts","Stenhoj Automotive Lifts",,
STENS,Stens,Stens,,
STNSL,Stensele,Stensele,,
STEPR,"Step Rider","Step Rider",,
STPAD,"STEPHANS-ADAMSON INC.",,,
SLGTR,"Stephen L. Green Trailers Inc","Stephen L. Green Trailers",,
STPNE,"Stephens Pneumatics Inc","Stephens Pneumatics Inc",,
STEPP,"Stepp Manufacturing Co Inc","Stepp Manufacturing",,
STRLN,"STERLING ENGINEERING & MFG. CO.",,,
STRCR,"Sterling Motor Cars div Rover Car Co ","Sterling Motor Cars",,
STRLR,"Sterling Rotary Corp.","Sterling Rotary Corp.",,
"STRLS ","Sterling Seal and Supply Ic","Sterling Seal and Supply Inc",,
STECH,"Sterling Technologies Corporation ","Sterling Technologies ",,
STRLG,"Sterling Truck Corporation","Sterling Truck",,"No DUNS #, but included in list because of major band name. Must insist on DUNS for future versions."
STKON,"Stertil Koni","Stertil Koni",,
STVBT,"Steve & Betty Inc","Steve & Betty Inc",,
SKING,"Steven King Agency","Steven King Agency",,
STVND,"Stevens Decal Co","Stevens Decal",,
STWDR,"STEWART DURA-VAN",,,
STWST,"STEWART & STEVENSON SERVICES INC.","Stewart Stevenson ",,
STWIC,"STEWART WARNER INSTRUMENT CORP",,,
STWWH,"Stewart Wholesale Co","Stewart Wholesale ",,
STUSA,Stewarts-USA,Stewarts-USA,,
STEYR,STEYR,,,
STIHL,Stihl,Stihl,,
STMST,Stimsonite,Stimsonite,,
STING,"Stinger Electronics","Stinger Electronics",,
STITT,Stitt,Stitt,,
STMXX,"STM Heavy Duty Starters and Alternators","STM ",,
STVCL,"STOCKHAM VALVE AND FITTING",,,
STKVS,"STOKVIS MULTITON CORP.",,,
STLPR,Stolper,Stolper,,
STBNT,"Stone Bennett","Stone Bennett",,
STONE,"Stone Construction Equipment. Inc.","Stone Construction",,
STSPX,"Stone div SPX Fluid Power","Stone div SPX Fluid Power",,
STONT,"StoneAge Tools","StoneAge Tools",,
STONL,StoneL,StoneL,,
STONR,Stoneridge,Stoneridge,,
STPSF,"Stop Safe","Stop Safe",,
STPLR,Stopler,Stopler,,
STOIN,"Storm Interface","Storm Interface",,
STORM,Storm-Tite,Storm-Tite,,
STGRD,"Stormguard - Component Technology div of Certified Power",Stormguard,,
STTTR,"STOT TRUCK, LTD.",,,
STGHT,"STOUGHTON TRAILERS, INC.",,,
STOWQ,"Stow Commercial Heavy Equipment",Stow,,"Requested by Parts River "
